match_id,model,baseline,seed,round,coop
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,29,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,30,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,31,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,32,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,33,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,34,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,35,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,36,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,37,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,38,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,39,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,40,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,41,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,42,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,43,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,44,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,45,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,46,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,47,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,48,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,49,1.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,50,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,1,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,2,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,3,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,4,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,5,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,6,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,7,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,8,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,9,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,10,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,11,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,12,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,13,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,14,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,15,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,16,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,17,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,18,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,19,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,20,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,21,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,22,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,23,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,24,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,25,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,26,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,27,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,28,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,29,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,30,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,31,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,32,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,33,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,34,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,35,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,36,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,37,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,38,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,39,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,40,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,41,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,42,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,43,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,44,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,45,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,46,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,47,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,48,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,49,1.0
deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,Always Cooperate,102,50,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,1,0.5
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,2,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,3,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,4,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,5,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,6,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,7,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,8,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,9,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,10,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,11,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,12,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,13,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,14,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,15,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,16,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,17,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,18,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,19,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,20,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,21,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,22,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,23,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,24,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,25,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,26,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,27,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,28,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,29,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,30,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,31,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,32,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,33,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,34,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,35,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,36,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,37,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,38,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,39,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,40,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,41,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,42,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,43,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,44,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,45,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,46,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,47,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,48,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,49,1.0
deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,Always Cooperate,103,50,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,1,0.5
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,2,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,3,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,4,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,5,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,6,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,7,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,8,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,9,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,10,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,11,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,12,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,13,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,14,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,15,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,16,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,17,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,18,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,19,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,20,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,21,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,22,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,23,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,24,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,25,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,26,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,27,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,28,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,29,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,30,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,31,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,32,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,33,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,34,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,35,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,36,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,37,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,38,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,39,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,40,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,41,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,42,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,43,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,44,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,45,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,46,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,47,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,48,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,49,1.0
deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,Always Cooperate,104,50,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,1,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,2,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,3,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,4,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,5,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,6,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,7,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,8,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,9,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,10,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,11,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,12,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,13,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,14,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,15,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,16,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,17,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,18,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,19,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,20,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,21,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,22,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,23,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,24,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,25,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,26,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,27,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,28,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,29,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,30,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,31,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,32,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,33,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,34,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,35,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,36,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,37,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,38,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,39,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,40,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,41,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,42,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,43,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,44,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,45,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,46,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,47,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,48,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,49,1.0
deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,Always Cooperate,105,50,1.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,1,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,2,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,3,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,4,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,5,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,6,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,7,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,8,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,9,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,10,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,11,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,12,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,13,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,14,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,15,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,16,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,17,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,18,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,19,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,20,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,21,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,22,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,23,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,24,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,25,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,26,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,27,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,28,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,29,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,30,0.0
deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,Always Defect,101,31,0.0
